02-08-2023 15:20:39 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:40 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:40 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:41 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:41 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:42 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:43 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:43 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:44 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:44 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:45 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:45 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:46 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:47 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:47 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:48 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:48 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:49 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:50 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:50 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:51 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
04-08-2023 14:14:47 INFO     [app.py:14] Loading books list...
04-08-2023 14:14:47 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
04-08-2023 14:14:49 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
04-08-2023 14:14:56 DEBUG    [app.py:48] Creatng all books page.
04-08-2023 14:17:08 INFO     [app.py:14] Loading books list...
04-08-2023 14:17:08 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
04-08-2023 14:17:08 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
04-08-2023 14:17:11 DEBUG    [app.py:48] Creatng all books page.
